Bulan;Vendor;Type;Total Biaya;Keterangan;Nopol;Tahun;Vendor_TextMining;Vendor_Clean
November;PT. ASTRA INTERNATIONAL TBK (AUTO2000 BASUKI RACHMAT);KIJANG INNOVA G MT;1773100;TUNE UP;L 1610 FP;2022;PT. ASTRA INTERNATIONAL TBK (AUTO2000 BASUKI RACHMAT);PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
November;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);NKR71 TRUCK;2542460;TUNE UP;L 9140 BP;2022;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
November;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);TBR54 PICK UP TURBO;4363386;RUSAK RINGAN;L 8404 CP;2022;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
November;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);TBR54 TURBO PICK UP;3053074;TUNE UP;L 8852 CP;2022;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
November;PT. ASTRA INTERNATIONAL TBK (AUTO2000 BASUKI RACHMAT);KIJANG INNOVA 2.0 G AT;3695900;RUSAK RINGAN;L 1767 PP;2022;PT. ASTRA INTERNATIONAL TBK (AUTO2000 BASUKI RACHMAT);PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
November;CV. ASRI PUCANG (TOYOTA);KIJANG INNOVA 2.0 G AT;2690000;TUNE UP;L 1861 FP;2022;CV. ASRI PUCANG (TOYOTA);CV. ASRI (TOYOTA)
November;CV. ASRI PUCANG (TOYOTA);HI ACE COMMUTER MT;3327000;RUSAK RINGAN;L 1062 CP;2022;CV. ASRI PUCANG (TOYOTA);CV. ASRI (TOYOTA)
November;PT UNITED MOTORS CENTER (SUZUKI);GC415V 4X2 PS MT;2827098;TUNE UP;L 1590 DP;2022;PT UNITED MOTORS CENTER (SUZUKI);PT UNITED MOTORS CENTER (SUZUKI)
November;PT. ASTRA INTERNATIONAL TBK (ISUZU WARU);PANTHER PICK UP LC TBR54;1957119;TUNE UP;L 9348 AP;2022;PT. ASTRA INTERNATIONAL TBK (ISUZU WARU);PT. ASTRA INTERNATIONAL TBK (ISUZU WARU)
November;PT. ASTRA INTERNATIONAL TBK (AUTO2000 BASUKI RACHMAT);KIJANG INNOVA 2.0 G AT;3093352;RUSAK RINGAN;L 0018 BP;2022;PT. ASTRA INTERNATIONAL TBK (AUTO2000 BASUKI RACHMAT);PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
November;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);TBR54 TURBO LM;3008586;TUNE UP;L 1990 EP;2022;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
November;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);NKR71 TRUCK;3019410;TUNE UP;L 8964 CP;2022;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
November;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);NKR71 TRUCK;3079400;TUNE UP;L 8870 CP;2022;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
November;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);NKR71 TRUCK;7675645;RUSAK SEDANG;L 8431 CP;2022;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
November;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);TBR54F TURBO LV;3058000;TUNE UP;L 1320 CP;2022;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
November;PT UNITED MOTORS CENTER (SUZUKI);GC415V APV DLX;1986670;TUNE UP;L 1547 CP;2022;PT UNITED MOTORS CENTER (SUZUKI);PT UNITED MOTORS CENTER (SUZUKI)
November;PT. ASTRA INTERNATIONAL TBK (ISUZU MARGOMULYO);PANTHER PICK UP LC TBR54;2066039;TUNE UP;L 8980 CP;2022;PT. ASTRA INTERNATIONAL TBK (ISUZU MARGOMULYO);PT. ASTRA INTERNATIONAL TBK (ISUZU MARGOMULYO)
