Bulan;Vendor;Type;Total Biaya;Keterangan;Nopol;Tahun;Vendor_TextMining;Vendor_Clean
Januari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;KIJANG INNOVA;3145683;RUSAK RINGAN;L 1929 BP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Januari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;CAMRY;5895098;RUSAK SEDANG;L 1663 PP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Januari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;CAMRY;5962124;RUSAK SEDANG;L 1164 BS;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Januari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;IMV;3441848;RUSAK RINGAN;L 1903 FP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Januari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;IMV;3619069;RUSAK RINGAN;L 1516 QP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Januari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;IMV;4334352;RUSAK SEDANG;L 1711 FP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Januari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;KIJANG INNOVA 2.0 G AT;5529909;RUSAK SEDANG;L 1877 FP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Januari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;CAMRY;3097056;RUSAK RINGAN;L 1164 BS;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. SRIKANDI DIAMOND INDAH MOTORS;MITSUBISHIPAJERO SPORT 2.5;3263341;RUSAK RINGAN;L 1927 EP;2023;PT SRIKANDI DIAMOND INDAH MOTORS;PT SRIKANDI DIAMOND INDAH MOTORS
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;KIJANG INNOVA G XW42;3367424;RUSAK RINGAN;L 1852 PP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;SOLUNA;3084846;RUSAK RINGAN;L 1926 BP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;COMMUTER ACE MANUAL VIN 2019;59524;TUNE UP;L 7643 AP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;HIACE;554014;TUNE UP;L 7521 NP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;IMV;1852500;TUNE UP;L 1711 FP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;KIJANG;4514972;RUSAK SEDANG;L 1930 BP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;KIJANG;1973207;TUNE UP;L 1097 TP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;KIJANG KF83 SPR;17096593;RUSAK BERAT;L 1739 CP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;KIJANG INNOVA 2.0 G AT;4374517;RUSAK SEDANG;L 1763 PP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;KIJANG INNOVA 2.0 G AT;4653774;RUSAK SEDANG;L 1866 FP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;IMV;4988613;RUSAK SEDANG;L 1504 QP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;COMMUTER ACE MANUAL VIN 2019;59524;TUNE UP;L 7643 AP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;HIACE;554014;TUNE UP;L 7521 NP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;IMV;1852500;TUNE UP;L 1711 FP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;KIJANG;1973207;TUNE UP;L 1097 TP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;KIJANG INNOVA G XW42;3367424;RUSAK RINGAN;L 1852 PP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;SOLUNA;3084846;RUSAK RINGAN;L 1926 BP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;KIJANG;4514972;RUSAK SEDANG;L 1930 BP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;KIJANG INNOVA 2.0 G AT;4374517;RUSAK SEDANG;L 1763 PP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;KIJANG INNOVA 2.0 G AT;4653774;RUSAK SEDANG;L 1866 FP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;IMV;4988613;RUSAK SEDANG;L 1504 QP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;KIJANG KF83 SPR;17096593;RUSAK BERAT;L 1739 CP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;IMV;5587453;RUSAK SEDANG;L 1995 PP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;IMV;3203641;RUSAK RINGAN;L 1525 QP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;KIJANG INNOVA G XW42;6732912;RUSAK SEDANG;L 1876 BP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;INNOVA G;9288420;RUSAK BERAT;L 1761 FP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;KIJANG;3410275;RUSAK RINGAN;L 1205 TP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;IMV;3591354;RUSAK RINGAN;L 1978 PP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;IMV;3164641;RUSAK RINGAN;L 1992 PP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;IMV;3203641;RUSAK RINGAN;L 32 AP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;IMV;5742181;RUSAK SEDANG;L 1559 QP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;IMV;4464037;RUSAK SEDANG;L 1523 QP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;IMV;5587453;RUSAK SEDANG;L 1995 PP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;KIJANG INNOVA G XW42;6732912;RUSAK SEDANG;L 1876 BP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;IMV;5742181;RUSAK SEDANG;L 1559 QP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;IMV;4464037;RUSAK SEDANG;L 1523 QP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;IMV;3203641;RUSAK RINGAN;L 1525 QP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;KIJANG;3410275;RUSAK RINGAN;L 1205 TP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;IMV;3591354;RUSAK RINGAN;L 1978 PP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;IMV;3164641;RUSAK RINGAN;L 1992 PP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;IMV;3203641;RUSAK RINGAN;L 32 AP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;INNOVA G;9288420;RUSAK BERAT;L 1761 FP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;IMV;2168276;TUNE UP;L 1559 QP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;IMV;4986744;RUSAK SEDANG;L 1993 PP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;IMV;5532883;RUSAK SEDANG;L 1523 QP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;KIJANG INNOVA G XW42;4401916;RUSAK SEDANG;L 1102 BP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;IMV;4234778;RUSAK SEDANG;L 1981 PP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;IMV;5487845;RUSAK SEDANG;L 23 AP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;IMV;4821582;RUSAK SEDANG;L 1586 FP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;IMV;4234778;RUSAK SEDANG;L 24 AP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;KIJANG INNOVA G XW42;4855515;RUSAK SEDANG;L 1030 BP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;IMV;4771225;RUSAK SEDANG;L 1528 QP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;IMV;3195095;RUSAK RINGAN;L 1607 FP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;IMV;2168276;TUNE UP;L 1559 QP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;IMV;3195095;RUSAK RINGAN;L 1607 FP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;IMV;4986744;RUSAK SEDANG;L 1993 PP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;IMV;5532883;RUSAK SEDANG;L 1523 QP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;KIJANG INNOVA G XW42;4401916;RUSAK SEDANG;L 1102 BP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;IMV;4234778;RUSAK SEDANG;L 1981 PP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;IMV;5487845;RUSAK SEDANG;L 23 AP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;IMV;4821582;RUSAK SEDANG;L 1586 FP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;IMV;4234778;RUSAK SEDANG;L 24 AP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;KIJANG INNOVA G XW42;4855515;RUSAK SEDANG;L 1030 BP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;IMV;4771225;RUSAK SEDANG;L 1528 QP;2023;PT. ASTRA INTERNATIONAL TOYOTA CABANG  BASUKI RAHMAT;PT. ASTRA INTERNATIONAL TOYOTA (BASUKI RAHMAT)
Februari;PT. ASTRA INTERNATIONAL ISUZU CABANG KOMBES DURYAT;TBR54;4743329;RUSAK SEDANG;L 9024 PP;2023;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
Februari;PT. ASTRA INTERNATIONAL ISUZU CABANG KOMBES DURYAT;TBR54;4743329;RUSAK SEDANG;L 9271 NP;2023;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
Februari;PT. ASTRA INTERNATIONAL ISUZU CABANG KOMBES DURYAT;PHR 54 C BB;2968263;TUNE UP;L 9389 AP;2023;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
Februari;PT. ASTRA INTERNATIONAL ISUZU CABANG KOMBES DURYAT;TBR54;2888211;TUNE UP;L 8819 CP;2023;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
Februari;PT. ASTRA INTERNATIONAL ISUZU CABANG KOMBES DURYAT;TBR541;3723858;RUSAK RINGAN;L 1995 EP;2023;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
Februari;PT. ASTRA INTERNATIONAL ISUZU CABANG KOMBES DURYAT;TBR54;6912287;RUSAK SEDANG;L 9344 AP;2023;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
Februari;PT. ASTRA INTERNATIONAL ISUZU CABANG KOMBES DURYAT;PHR 54 C BB;2356668;TUNE UP;L 9395 AP;2023;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
Februari;PT. ASTRA INTERNATIONAL ISUZU CABANG KOMBES DURYAT;MITSUBISHI;7875613;RUSAK SEDANG;L 1573 FP;2023;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
Februari;PT. ASTRA INTERNATIONAL ISUZU CABANG KOMBES DURYAT;NKR71 TRUCK;2936749;TUNE UP;L 9219 NP;2023;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
Februari;PT. ASTRA INTERNATIONAL ISUZU CABANG KOMBES DURYAT;TBR541;1866883;TUNE UP;L 1842 NP;2023;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
Februari;PT. ASTRA INTERNATIONAL ISUZU CABANG KOMBES DURYAT;TBR54 TURBO PICK UP;2433290;TUNE UP;L 8868 CP;2023;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
Februari;PT. ASTRA INTERNATIONAL ISUZU CABANG KOMBES DURYAT;INNOVA;2514480;TUNE UP;L 1033 BP;2023;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
Februari;PT. ASTRA INTERNATIONAL ISUZU CABANG KOMBES DURYAT;TBR54 TURBO LMJ;2987021;RUSAK RINGAN;L 1606 FP;2023;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
Februari;PT. ASTRA INTERNATIONAL ISUZU CABANG KOMBES DURYAT;PHR 54 C BB;2968263;TUNE UP;L 9389 AP;2023;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
Februari;PT. ASTRA INTERNATIONAL ISUZU CABANG KOMBES DURYAT;TBR54;2888211;TUNE UP;L 8819 CP;2023;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
Februari;PT. ASTRA INTERNATIONAL ISUZU CABANG KOMBES DURYAT;PHR 54 C BB;2356668;TUNE UP;L 9395 AP;2023;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
Februari;PT. ASTRA INTERNATIONAL ISUZU CABANG KOMBES DURYAT;NKR71 TRUCK;2936749;TUNE UP;L 9219 NP;2023;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
Februari;PT. ASTRA INTERNATIONAL ISUZU CABANG KOMBES DURYAT;TBR541;1866883;TUNE UP;L 1842 NP;2023;PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT);PT. ASTRA INTERNATIONAL TBK (ISUZU KOMBES M DURYAT)
